protein,P05387,60S acidic ribosomal protein P2,GLY PHE GLY LEU PHE ASP,acidic ribosomal protein P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P02761,alpha 2u globulin PGCL1,Allergen Rat n I,Alpha 2u globulin,Alpha2 euglobulin,Major urinary protein,protein alpha 2u globulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P02760,BIKUNIN,Trypstatin,Protein AMBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,O26773,Hypothetical protein MTH677,Uncharacterized protein MTH_677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P02762,Major urinary protein 6,Major urinary protein 2,Group 1 BS6,Alpha 2U globulin,Major urinary protein,Major urinary protein I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,O26774,Prefoldin subunit beta,Prefoldin,GimC subunit beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P02767,TBPA,Transthyretin,Prealbumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P02766,Transthyretin,ATTR,Transthyretin THR119MET VARIANT,PROTEIN Transthyretin,Transthyretin PRECURSOR,TBPA,Prealbumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01492,Neurotoxin 1,Neurotoxin,Toxin CsEv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01493,Neurotoxin 2,Toxin CsEv2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01491,Neurotoxin I,Beta toxin CsEI,PROTEIN Neurotoxin CSE I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01496,Toxin V,Toxin 5,Ts3 Toxin,Tityustoxin V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01494,Neurotoxin 3,Toxin CsEv3,SCORPION Neurotoxin VARIANT 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01495,Beta mammal toxin Cn2,Toxin 2,Beta mammal Toxin Cn2,Toxin II.9.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,A0A045JW21,30S ribosomal protein S18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,C4RSQ3,Hemagglutinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,G7RNP0,Putative Nudix hydrolase ymfB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q5EBH1,putative ras effector Nore1,New ras effector 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P43213,Allergen Phl p I,Pollen allergen Phl p 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,O77396,PROTEASOME COMPONENT C8 PUTATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q2FXY6,30S ribosomal protein S20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P43214,allergen Phl p 2,Allergen Phl p II,Pollen allergen Phl P2,Pollen allergen Phl p 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P43215,Pollen allergen Phl p 6,Allergen Phl p VI,Pollen Allergen Phl p 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q2TFW1,STEROL ESTERASE,Carboxylic ester hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P38377,SEC61A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P06180,Histone binding protein N1 N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q5ZJQ3,Protein lin 52 homolog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q8I3T9,60S ribosomal protein uL2,60S ribosomal protein L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P39023,60S ribosomal protein L3,HIV 1 TAR RNA binding protein B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P18670,Jacalin alpha chain,Agglutinin alpha chain,Jacalin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P18671,Jacalin,Jacalin beta 1 chain,Agglutinin beta 1 chain,Jacalin beta chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P18673,Jacalin beta 3 chain,Agglutinin beta 3 chain,Agglutinin beta chain,Jacalin beta chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P18674,Agglutinin alpha chain,Agglutinin,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9P218,Collagen alpha 1XX chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P18676,Agglutinin,Agglutinin beta 2 chain,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q04432,Heat shock protein 31,Probable chaperone protein HSP31,Glyoxalase 3 homolog 1,YDR533c protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,A0A0H3JVL5,conserved hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,A0A0H3JVL4,Uncharacterized protein MW0776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9P212,Phospholipase C epsilon 1,phospholipase C epsilon 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,C0H519,Autophagy related protein 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q92383,3MEA DNA glycosylase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9WXT2,Acetylxylan esterase,acetyl xylan esterase,Cephalosporin C deacetylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q6RUA7,SPOROZOITE SPECIFIC SAG PROTEIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9H3M9,Putative ataxin 3 like protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04383,p38,Coat protein,Capsid protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04382,Dihydrofolate reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04385,Galactokinase,Galactose kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04386,Regulatory protein GAL4,protein GAL4,GAL4 CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,O38732,protease,Chemical analogue HIV 1 protease,[D25N]HIV 1 protease,HIV 1 protease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,O38731,Protease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,O57890,UPF0100 protein PH0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,G7CAR0,Membrane ATPase protein kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,E0DH37,MdbA protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01236,Prolactin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9GL30,Phospholipase B like 1,Lamina ancestor homolog 1,LAMA like protein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q8I3T5,putative splicing factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P01239,Prolactin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04032,Low potential cytochrome c,Cytochrome c553,Cytochrome c 553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04036,DIHYDRODIPICOLINATE reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04035,HMG COA reductase,PROTEIN HMG COA reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P08079,Gamma gliadin,DQ8.5 glia gamma1 peptide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P53704,Hexosephosphate aminotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P04038,Cytochrome c oxidase subunit 6C,Cytochrome c oxidase,Cytochrome c oxidase subunit STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P46489,NADP Malate dehydrogenase,NADP MDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P00723,Lactase,Beta galactosidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P00722,Lactase,Beta D galactosidase,Beta galactosidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P00720,Lysozyme,protein T4 Lysozyme,Endolysin,Muramidase,T4 Lysozyme,Lysis protein,TELSAM domain Lysozyme chimera,protein Lysozyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P00727,Leucyl aminopeptidase,Leucine aminopeptidase,Prolyl aminopeptidase,Cytosol aminopeptidase,Peptidase S,Proline aminopeptidase,Leucine aminopeptidase 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P00724,Invertase 2,Saccharase,Beta fructofuranosidase 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q14562,DEAH box protein 8,ATP dependent RNA helicase DHX8,RNA helicase HRH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P00729,Carboxypeptidase Y,Carboxypeptidase YSCY,SERINE Carboxypeptidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q14566,p105MCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,O08912,Polypeptide GalNAc transferase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9NRH2,SNF1 related kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P0A112,Naphthalene 12 dioxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P0A110,Naphthalene 12 dioxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P0A115,Carboxymethylenebutenolidase,Dienelactone hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P0A114,Carboxymethylenebutenolidase,Dienelactone hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q5I7L0,60S ribosomal protein L18,60S ribosomal protein L18E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,E7FH77,Zebrafish RNase5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,C4M7X2,Lysine tRNA ligase,Lysyl tRNA synthetase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,E7FH76,Zebrafish RNase1,HYDROLASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,A0QXM5,F420 H2 Dependent Reductase A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q92520,Protein FAM3C,Interleukin like EMT inducer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P96559,Glycosyltransferase GtfB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P96558,Glycosyltransferase GtfA,Glycosyltransferase AH1,dTDP epi vancosaminyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q8RVT0,Thaumatin 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9WDA7,Envelope glycoprotein,Envelope protein M,Genome polyprotein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q8YFC9,Pantothenate synthetase,Pantoate beta alanine ligase,Pantoate activating enzyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9E6F8,SIGMA A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9EQZ5,15 oxoprostaglandin 13 reductase,Prostaglandin reductase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q9WPU2,Protein Nef,10 mer peptide from Protein Nef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q5ZZD5,uncharacterized protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q02874,Core histone macro H2A.1,H2A y,H2A.y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q72HW2,LACCASE LIKE PROTEIN,LACCASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q02878,Neoplasm related protein C140,60S ribosomal protein L6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,P45687,Xylose isomerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q96HA7,Tonsoku like protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,M9PB30,DUMPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q96HA1,Pore membrane protein of 121 kDa,Nucleoporin Nup121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q8EXM2,Heme oxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,B3A0S5,Endo 14 beta xylanase,Xylanase III,Endo 14 beta xylanase A,Endo 14 beta xylanase GH10 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q7CRW4,malate dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Q96HA8,Uncharacterized protein C8orf32,WDYHV motif containing protein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
